1721,Stephen E. Rivkin
496,Rick Carter
900,Christopher Boyes
1262,Mali Finn
1729,James Horner
2710,James Cameron
7236,Andrew Menzies
6690,Jill Brooks
6347,Margery Simkin
6878,Kevin Ishioka
6883,Dick Bernstein
8159,Shannon Mills
8160,Dennie Thorpe
8163,Jana Vance
8527,Deborah Lynn Scott
8529,Jon Landau
9618,Sean Haworth
12653,Kim Sinclair
14350,Richard F. Mays
20294,Laeta Kalogridis
17675,Mayes C. Rubeo
18265,Mauro Fiore
42281,Scott Herbertson
42288,Woody Schultz
29067,Linda DeVetta
33302,Richard Bluck
33303,Simon Bright
113145,Richard Martin
58188,Steve R. Moore
58871,John Refoua
92359,Karl J. Martin
72201,Chiling Lin
89714,Ilram Choi
93214,Steven Quale
122607,Carla Meyer
132585,Nick Bassett
132596,Jill Cormack
132604,Andy McLaren
236696,Terry Notary
956198,Garrett Warren
957874,Jonathan Rothbart
957889,Stefan Dechant
959555,Todd Cherniawsky
1016177,Miranda Rivers
1032536,Robert Stromberg
1071680,John Harding
1177364,Roberto De Angelis
1202850,Mike Smithson
1204668,Alain Lalanne
1206410,Lucas Salton
1234266,Janace Tashjian
1271932,Stephen Rosenbaum
1310064,Frankie Karena
1319844,Lisa Lovaas
1327028,Jonathan Fawkner
1330561,Robert Bavin
1330567,Anthony Almaraz
1330570,Carolyn M. Fenton
1330574,Beth Koenigsberg
1336191,Sam Page
1339441,Tex Kadonaga
1352422,Kim Foscato
1352962,Tammy S. Lee
1357070,Denny Caira
1357071,James Waitkus
1360103,Addison Teague
1376887,C. Scott Baker
1376888,Luke Caska
1376889,David Chow
1376890,Jonathan Dyer
1376891,Joseph Hiura
1376892,Rebecca Jellie
1376893,Robert Andrew Johnson
1376895,Mike Stassi
1376897,John Villarino
1376898,Jeffrey Wisniewski
1376899,Cheryl Nardi
1376901,Marshall Winn
1376902,Gwendolyn Yates Whittle
1376903,William Stein
1376909,Lula Washington
1391692,Chris Del Conte
1391695,R. Christopher White
1394070,Dan Lemmon
1394129,Tim Nielsen
1394286,Michael Mulholland
1394750,Thomas Nittmann
1394755,Edson Williams
1394953,Christine Carr
1395269,John Bruno
1398970,David Emmerichs
1400906,Christopher Scarabosio
1401784,Jennifer Teves
1401785,Brigitte Yorke
1401786,Ken Fischer
1401787,Iain Hutton
1401788,Steve Ingram
1401789,Joyce Cox
1401790,Jenny Foster
1401791,Christopher Marino
1401792,Jim Milton
1401793,Cyndi Ochs
1401794,Lucas Putnam
1401795,Anthony 'Max' Ivins
1401796,John Knoll
1401799,Eric Saindon
1401800,Wayne Stables
1401801,David Stinnett
1401803,Guy Williams
1401804,Stuart Thorp
1401805,Giles Coburn
1401806,Mark Fellman
1401807,Scott Sprague
1401808,Jeremy Hollobon
1401809,Orlando Meunier
1401810,Taisuke Tanimura
1401812,Lilia Mishel Acevedo
1401814,Alejandro M. Hernandez
1401815,Marvin Hall
1401816,Judy Alley
1418381,Mike Perry
1426854,Andrew Morley
1438901,Seth Engstrom
1447362,Eric Oliver
1447503,Matsune Suzuki
1447524,Paul Tobin
1452643,Roxane Griffin
1453938,Arun Ram-Mohan
1457305,Georgia Lockhart-Adams
1466035,Thrain Shadbolt
1483220,Brad Alexander
1483221,Shadi Almassizadeh
1483222,Simon Clutterbuck
1483223,Graeme Demmocks
1483224,Adrian Fernandes
1483225,Mitch Gates
1483226,Jerry Kung
1483227,Andy Lomas
1483228,Sebastian Marino
1483229,Matthias Menz
1483230,Sergei Nevshupov
1483231,Philippe Rebours
1483232,Michael Takarangi
1483233,David Weitzberg
1483234,Ben White
1621932,Min Windle
120,Dariusz Wolski
1704,Gore Verbinski
770,Jerry Bruckheimer
1705,Ted Elliott
1706,Terry Rossio
1722,Craig Wood
947,Hans Zimmer
2444,Mike Stenson
2445,Eric McLeod
2446,Chad Oman
2447,Peter Kohn
2448,Pat Sandston
2215,Denise Chamian
1226,Rick Heinrichs
553,John Dexter
3311,Priscilla John
4032,Cheryl Carasik
4033,Liz Dann
4034,Penny Rose
5132,Bob Badami
146439,James Ward Byrkit
406204,Ve Neill
1259516,John Dixon
1336716,Dottie Starling
1344278,Pamela Alch
1368867,Allen Hall
1368884,Melissa Muik
1395290,Sharron Reynolds
1399327,Barbara McDermott
1400738,Karen Golden
1534197,Katie Greathouse
153,Thomas Newman
39,Sam Mendes
8384,Anna Pinnock
932,John Logan
4248,Dennis Gassner
9856,Ian Fleming
3904,Lee Smith
7538,Bill Bernstein
8784,Daniel Craig
11227,Jany Temime
10496,Debbie McWilliams
10666,Barbara Broccoli
11268,Roberto Malerba
40827,Peter Clarke
14764,Christopher Assells
14765,Per Hallberg
36108,Nicole Schmied
10783,Robert Wade
10782,Neal Purvis
10876,Callum McDougall
21339,Jez Butterworth
23425,Chris Lowe
23491,Roxana Alexandru 
23774,Jo Grover
10907,Stéphane Foenkinos
61851,Lorenzo Senatore
64000,Wolfgang Ramml
66941,J.A.C. Redford
81517,Gregg Wilson
69678,Michael G. Wilson
77511,Zakaria Alaoui
74401,Hoyte van Hoytema
239885,Franco Ragusa
937946,Peter Field
979698,Neal Callow
986687,Mark Harris
1024842,Billy A. Campbell
1026247,Stacy Perskie
1029804,Laura Schultz
1087452,Mari Paz Robles
1099281,Gerardo Perez Arreola
1118711,Kenji Katori
1296445,Ben Collins
1305251,Tusse Lande
1315700,Donald Mowat
1319160,Ken Crouch
1335539,Andrew Bennett
1338241,Sean McGrath
1338372,Dan O'Connell
1341741,Mark Curtis
1341858,Gregg Rudloff
1342669,Jayne-Ann Tenggren
1345595,Scott Millan
1358025,Nicoletta Mani
1367493,John T. Cucci
1377503,Sebastian Meuschel
1388897,Julian Morson
1389614,Peter Michael Sullivan
1391691,Ken Dailey
1392083,Ann Scibelli
1392246,Clive Jackson
1392661,Susie Jones
1392718,Jasin Boland
1394117,Jennifer Lewicki
1398089,Ian Whiteford
1398100,Kilou Picard
1399071,Hans Bjerno
1399862,Daniel Saxlid
1401126,Alex Rouse
1401147,Anik Seguin
1401631,Michelle Pazer
1403411,Lucas Bielan
1404212,Karen Baker Landers
1404217,Peter Staubli
1404244,John Marzano
1405241,Adam Dale
1408363,Emma McCleave
1409821,Naomi Donne
1411323,Susan Howard
1414096,David Smith
1415157,Joel Green
1425484,Laurent Hugueniot
1425488,Tim Keene
1425971,Zoe Tahir
1428902,Conor Byrne
1439128,Charlotte Hayward
1442137,Catherine Mullan
1447617,Crystal Hadcroft
1458416,Francesca Crowder
1459878,Marlene Chazot
1459899,Struan Farquhar
1459925,Daniel Pastore
1470167,Jonathan Olley
1472773,Sami Gaidi
1477203,Luca Marco Paracels
1480629,Luca Vannella
1483141,Stuart Bullen
1494824,Russell Edwards
1510431,Stefano De Nardis
1512767,Luis David Sansans
1545912,Abderrahim Benkhayi
1545913,Rachid Aadassi
1545995,Carlos De Carvalho
1546747,Vivienne Jones
1548406,Kim Honeyman
1550637,Kathryn Fa
1551770,Paul Duff
1551771,Ben Wilkinson
1551772,Lynne Corbould
1551773,Amal El-Farfachi
1551774,Celebrity Booker
1551775,Lucy Hellier
1551777,Richard Davies
1551789,Ando Johnson
1551791,Greg Corke
1551796,Amin Rharda
1551797,Joss Skottowe
1551798,Joseph Koniak
1551800,Thalía Echeveste
1551801,Charlie Hounslow
1551802,Lucy Friend
1551803,Yelska Labrada
1551804,Ana Gabriela Quinonez
1551807,Gina De Ferrer
1551809,Lydia Fry
1551810,Liam Georgensen
1551811,Hugh McClelland
1551812,John Allen
1551813,Eddie Murphy
1551872,Carlos-Christian Nickel
1551874,Chris Petts
1551892,Hugh Brompton
1551893,Jillian Brooks
1551894,Geraint Hixson
1551896,Shawn Smolensky
1551897,Todd Whalen
1551898,Alysia Wildman
1551899,Sam Girdler
1551902,Samantha Dark
1551904,Ty Gibson
1551906,James Mann
1551907,Leslie Lerman
1551908,Steven Begg
1551909,Zave Jackson
1551910,Jonathan Knight
1551911,Alex Wuttke
1551913,Mark Bakowski
1551914,Paul Round
1553236,Stefano Marino
1582109,Hanz Kawson
282,Charles Roven
525,Christopher Nolan
527,Jonathan Nolan
556,Emma Thomas
559,Wally Pfister
561,John Papsidera
3893,David S. Goyer
3794,Bob Kane
10949,Michael Uslan
10951,Benjamin Melniker
9568,Jim Palmer
9991,Karen Blynder
10714,Lindy Hemming
12039,Paki Smith
14762,Robert Woodruff
15327,Nathan Crowley
15328,Kevin Kavanaugh
17677,Naaman Marshall
35630,Timothy Healy
40120,Brian 'Buzz' Buzzelli
52193,R.J. Kizer
